name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,controllable
,0,51.0,27.0,0.0,0.0,,1.0,True,,False
,1,20.0,9.0,0.0,0.0,,1.0,True,,False
,2,39.0,10.0,0.0,0.0,,1.0,True,,False
,3,39.0,12.0,0.0,0.0,,1.0,True,,False
,5,52.0,22.0,0.0,0.0,,1.0,True,,False
,6,19.0,2.0,0.0,0.0,,1.0,True,,False
,7,28.0,0.0,0.0,0.0,,1.0,True,,False
,10,70.0,23.0,0.0,0.0,,1.0,True,,False
,11,47.0,10.0,0.0,0.0,,1.0,True,,False
,12,34.0,16.0,0.0,0.0,,1.0,True,,False
,13,14.0,1.0,0.0,0.0,,1.0,True,,False
,14,90.0,30.0,0.0,0.0,,1.0,True,,False
,15,25.0,10.0,0.0,0.0,,1.0,True,,False
,16,11.0,3.0,0.0,0.0,,1.0,True,,False
,17,60.0,34.0,0.0,0.0,,1.0,True,,False
,18,45.0,25.0,0.0,0.0,,1.0,True,,False
,19,18.0,3.0,0.0,0.0,,1.0,True,,False
,20,14.0,8.0,0.0,0.0,,1.0,True,,False
,21,10.0,5.0,0.0,0.0,,1.0,True,,False
,22,7.0,3.0,0.0,0.0,,1.0,True,,False
,23,13.0,0.0,0.0,0.0,,1.0,True,,False
,26,71.0,13.0,0.0,0.0,,1.0,True,,False
,27,17.0,7.0,0.0,0.0,,1.0,True,,False
,28,24.0,4.0,0.0,0.0,,1.0,True,,False
,30,43.0,27.0,0.0,0.0,,1.0,True,,False
,31,59.0,23.0,0.0,0.0,,1.0,True,,False
,32,23.0,9.0,0.0,0.0,,1.0,True,,False
,33,59.0,26.0,0.0,0.0,,1.0,True,,False
,34,33.0,9.0,0.0,0.0,,1.0,True,,False
,35,31.0,17.0,0.0,0.0,,1.0,True,,False
,38,27.0,11.0,0.0,0.0,,1.0,True,,False
,39,66.0,23.0,0.0,0.0,,1.0,True,,False
,40,37.0,10.0,0.0,0.0,,1.0,True,,False
,41,96.0,23.0,0.0,0.0,,1.0,True,,False
,42,18.0,7.0,0.0,0.0,,1.0,True,,False
,43,16.0,8.0,0.0,0.0,,1.0,True,,False
,44,53.0,22.0,0.0,0.0,,1.0,True,,False
,45,28.0,10.0,0.0,0.0,,1.0,True,,False
,46,34.0,0.0,0.0,0.0,,1.0,True,,False
,47,20.0,11.0,0.0,0.0,,1.0,True,,False
,48,87.0,30.0,0.0,0.0,,1.0,True,,False
,49,17.0,4.0,0.0,0.0,,1.0,True,,False
,50,17.0,8.0,0.0,0.0,,1.0,True,,False
,51,18.0,5.0,0.0,0.0,,1.0,True,,False
,52,23.0,11.0,0.0,0.0,,1.0,True,,False
,53,113.0,32.0,0.0,0.0,,1.0,True,,False
,54,63.0,22.0,0.0,0.0,,1.0,True,,False
,55,84.0,18.0,0.0,0.0,,1.0,True,,False
,56,12.0,3.0,0.0,0.0,,1.0,True,,False
,57,12.0,3.0,0.0,0.0,,1.0,True,,False
,58,277.0,113.0,0.0,0.0,,1.0,True,,False
,59,78.0,3.0,0.0,0.0,,1.0,True,,False
,61,77.0,14.0,0.0,0.0,,1.0,True,,False
,65,39.0,18.0,0.0,0.0,,1.0,True,,False
,66,28.0,7.0,0.0,0.0,,1.0,True,,False
,69,66.0,20.0,0.0,0.0,,1.0,True,,False
,71,12.0,0.0,0.0,0.0,,1.0,True,,False
,72,6.0,0.0,0.0,0.0,,1.0,True,,False
,73,68.0,27.0,0.0,0.0,,1.0,True,,False
,74,47.0,11.0,0.0,0.0,,1.0,True,,False
,75,68.0,36.0,0.0,0.0,,1.0,True,,False
,76,61.0,28.0,0.0,0.0,,1.0,True,,False
,77,71.0,26.0,0.0,0.0,,1.0,True,,False
,78,39.0,32.0,0.0,0.0,,1.0,True,,False
,79,130.0,26.0,0.0,0.0,,1.0,True,,False
,81,54.0,27.0,0.0,0.0,,1.0,True,,False
,82,20.0,10.0,0.0,0.0,,1.0,True,,False
,83,11.0,7.0,0.0,0.0,,1.0,True,,False
,84,24.0,15.0,0.0,0.0,,1.0,True,,False
,85,21.0,10.0,0.0,0.0,,1.0,True,,False
,87,48.0,10.0,0.0,0.0,,1.0,True,,False
,89,163.0,42.0,0.0,0.0,,1.0,True,,False
,90,10.0,0.0,0.0,0.0,,1.0,True,,False
,91,65.0,10.0,0.0,0.0,,1.0,True,,False
,92,12.0,7.0,0.0,0.0,,1.0,True,,False
,93,30.0,16.0,0.0,0.0,,1.0,True,,False
,94,42.0,31.0,0.0,0.0,,1.0,True,,False
,95,38.0,15.0,0.0,0.0,,1.0,True,,False
,96,15.0,9.0,0.0,0.0,,1.0,True,,False
,97,34.0,8.0,0.0,0.0,,1.0,True,,False
,98,42.0,0.0,0.0,0.0,,1.0,True,,False
,99,37.0,18.0,0.0,0.0,,1.0,True,,False
,100,22.0,15.0,0.0,0.0,,1.0,True,,False
,101,5.0,3.0,0.0,0.0,,1.0,True,,False
,102,23.0,16.0,0.0,0.0,,1.0,True,,False
,103,38.0,25.0,0.0,0.0,,1.0,True,,False
,104,31.0,26.0,0.0,0.0,,1.0,True,,False
,105,43.0,16.0,0.0,0.0,,1.0,True,,False
,106,50.0,12.0,0.0,0.0,,1.0,True,,False
,107,2.0,1.0,0.0,0.0,,1.0,True,,False
,108,8.0,3.0,0.0,0.0,,1.0,True,,False
,109,39.0,30.0,0.0,0.0,,1.0,True,,False
,111,68.0,13.0,0.0,0.0,,1.0,True,,False
,112,6.0,0.0,0.0,0.0,,1.0,True,,False
,113,8.0,3.0,0.0,0.0,,1.0,True,,False
,114,22.0,7.0,0.0,0.0,,1.0,True,,False
