index,name,vn_kv,type,zone,in_service,max_vm_pu,min_vm_pu
0,0,220.0,b,0.0,True,1.1,0.9
1,1,154.0,b,0.0,True,1.1,0.9
2,2,220.0,b,0.0,True,1.1,0.9
3,3,220.0,b,0.0,True,1.1,0.9
4,4,220.0,b,0.0,True,1.1,0.9
5,5,380.0,b,0.0,True,1.1,0.9
6,6,110.0,b,0.0,True,1.1,0.9
7,7,154.0,b,0.0,True,1.1,0.9
8,8,154.0,b,0.0,True,1.1,0.9
9,9,220.0,b,0.0,True,1.1,0.9
10,10,150.0,b,0.0,True,1.1,0.9
11,11,150.0,b,0.0,True,1.1,0.9
12,12,220.0,b,0.0,True,1.1,0.9
13,13,380.0,b,0.0,True,1.3,0.7
14,14,220.0,b,0.0,True,1.1,0.9
15,15,154.0,b,0.0,True,1.1,0.9
16,16,220.0,b,0.0,True,1.1,0.9
17,17,380.0,b,0.0,True,1.1,0.9
18,18,110.0,b,0.0,True,1.1,0.9
19,19,154.0,b,0.0,True,1.1,0.9
20,20,220.0,b,0.0,True,1.1,0.9
21,21,220.0,b,0.0,True,1.1,0.9
22,22,110.0,b,0.0,True,1.1,0.9
23,23,110.0,b,0.0,True,1.1,0.9
24,24,220.0,b,0.0,True,1.1,0.9
25,25,380.0,b,0.0,True,1.1,0.9
26,26,380.0,b,0.0,True,1.1,0.9
27,27,150.0,b,0.0,True,1.1,0.9
28,28,380.0,b,0.0,True,1.1,0.9
29,29,150.0,b,0.0,True,1.1,0.9
30,30,150.0,b,0.0,True,1.3,0.7
31,31,220.0,b,0.0,True,1.1,0.9
32,32,220.0,b,0.0,True,1.1,0.9
33,33,110.0,b,0.0,True,1.1,0.9
34,34,110.0,b,0.0,True,1.1,0.9
35,35,220.0,b,0.0,True,1.1,0.9
36,36,110.0,b,0.0,True,1.1,0.9
37,37,220.0,b,0.0,True,1.1,0.9
38,38,150.0,b,0.0,True,1.1,0.9
39,39,110.0,b,0.0,True,1.1,0.9
40,40,154.0,b,0.0,True,1.1,0.9
41,41,380.0,b,0.0,True,1.1,0.9
42,42,154.0,b,0.0,True,1.1,0.9
43,43,220.0,b,0.0,True,1.1,0.9
44,44,110.0,b,0.0,True,1.1,0.9
45,45,110.0,b,0.0,True,1.1,0.9
46,46,110.0,b,0.0,True,1.1,0.9
47,47,110.0,b,0.0,True,1.1,0.9
48,48,220.0,b,0.0,True,1.1,0.9
49,49,154.0,b,0.0,True,1.1,0.9
50,50,220.0,b,0.0,True,1.1,0.9
51,51,150.0,b,0.0,True,1.1,0.9
52,52,220.0,b,0.0,True,1.1,0.9
53,53,220.0,b,0.0,True,1.1,0.9
54,54,220.0,b,0.0,True,1.1,0.9
55,55,220.0,b,0.0,True,1.1,0.9
56,56,154.0,b,0.0,True,1.1,0.9
57,57,380.0,b,0.0,True,1.1,0.9
58,58,220.0,b,0.0,True,1.1,0.9
59,59,110.0,b,0.0,True,1.1,0.9
60,60,380.0,b,0.0,True,1.1,0.9
61,61,110.0,b,0.0,True,1.1,0.9
62,62,380.0,b,0.0,True,1.1,0.9
63,63,110.0,b,0.0,True,1.1,0.9
64,64,150.0,b,0.0,True,1.1,0.9
65,65,110.0,b,0.0,True,1.1,0.9
66,66,380.0,b,0.0,True,1.1,0.9
67,67,110.0,b,0.0,True,1.1,0.9
68,68,150.0,b,0.0,True,1.1,0.9
69,69,154.0,b,0.0,True,1.1,0.9
70,70,150.0,b,0.0,True,1.1,0.9
71,71,220.0,b,0.0,True,1.1,0.9
72,72,110.0,b,0.0,True,1.1,0.9
73,73,150.0,b,0.0,True,1.1,0.9
74,74,220.0,b,0.0,True,1.1,0.9
75,75,220.0,b,0.0,True,1.1,0.9
76,76,220.0,b,0.0,True,1.1,0.9
77,77,110.0,b,0.0,True,1.1,0.9
78,78,380.0,b,0.0,True,1.1,0.9
79,79,220.0,b,0.0,True,1.1,0.9
80,80,150.0,b,0.0,True,1.1,0.9
81,81,110.0,b,0.0,True,1.1,0.9
82,82,220.0,b,0.0,True,1.1,0.9
83,83,110.0,b,0.0,True,1.1,0.9
84,84,154.0,b,0.0,True,1.1,0.9
85,85,150.0,b,0.0,True,1.1,0.9
86,86,110.0,b,0.0,True,1.1,0.9
87,87,220.0,b,0.0,True,1.1,0.9
88,88,380.0,b,0.0,True,1.1,0.9
89,89,220.0,b,0.0,True,1.1,0.9
90,90,150.0,b,0.0,True,1.1,0.9
91,91,380.0,b,0.0,True,1.1,0.9
92,92,110.0,b,0.0,True,1.1,0.9
93,93,110.0,b,0.0,True,1.1,0.9
94,94,150.0,b,0.0,True,1.1,0.9
95,95,220.0,b,0.0,True,1.1,0.9
96,96,380.0,b,0.0,True,1.1,0.9
97,97,220.0,b,0.0,True,1.1,0.9
98,98,380.0,b,0.0,True,1.1,0.9
99,99,150.0,b,0.0,True,1.1,0.9
100,100,150.0,b,0.0,True,1.1,0.9
101,101,220.0,b,0.0,True,1.1,0.9
102,102,150.0,b,0.0,True,1.1,0.9
103,103,220.0,b,0.0,True,1.1,0.9
104,104,380.0,b,0.0,True,1.1,0.9
105,105,380.0,b,0.0,True,1.3,0.7
106,106,380.0,b,0.0,True,1.3,0.7
107,107,110.0,b,0.0,True,1.1,0.9
108,108,154.0,b,0.0,True,1.1,0.9
109,109,150.0,b,0.0,True,1.1,0.9
110,110,220.0,b,0.0,True,1.1,0.9
111,111,220.0,b,0.0,True,1.1,0.9
112,112,380.0,b,0.0,True,1.1,0.9
113,113,154.0,b,0.0,True,1.1,0.9
114,114,220.0,b,0.0,True,1.1,0.9
115,115,110.0,b,0.0,True,1.1,0.9
116,116,110.0,b,0.0,True,1.1,0.9
117,117,380.0,b,0.0,True,1.1,0.9
118,118,150.0,b,0.0,True,1.1,0.9
119,119,154.0,b,0.0,True,1.1,0.9
120,120,110.0,b,0.0,True,1.1,0.9
121,121,220.0,b,0.0,True,1.1,0.9
122,122,220.0,b,0.0,True,1.1,0.9
123,123,220.0,b,0.0,True,1.1,0.9
124,124,110.0,b,0.0,True,1.1,0.9
125,125,154.0,b,0.0,True,1.1,0.9
126,126,220.0,b,0.0,True,1.1,0.9
127,127,220.0,b,0.0,True,1.1,0.9
