name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,slack_weight,type,controllable,max_p_mw,min_p_mw
,1,-81.4,1.031734,,-20.45,42.19,1.0,False,True,0.0,,True,100.0,-108.53
,5,701.0,1.038476,,-211.57,524.53,1.0,False,True,0.0,,True,1200.0,400.0
,7,499.7,1.023005,,-246.25,251.73000000000002,1.0,False,True,0.0,,True,524.6800000000001,0.0
,17,467.5,1.026728,,-93.48,212.97,1.0,False,True,0.0,,True,500.0,166.67000000000002
,24,319.6,1.028526,,-66.21000000000001,179.43,1.0,False,True,0.0,,True,400.0,0.0
,31,8.0,1.003223,,-4.56,5.91,1.0,False,True,0.0,,True,16.2,0.0
,32,5.3,1.026534,,-1.08,2.27,1.0,False,True,0.0,,True,5.38,0.0
,38,34.3,1.003511,,-7.14,17.76,1.0,False,True,0.0,,True,40.0,0.0
,48,309.2,1.020323,,-75.97,218.52,1.0,False,True,0.0,,True,480.0,0.0
,50,-144.5,1.006665,,-4.19,5.48,1.0,False,True,0.0,,True,100.0,-192.67000000000002
,79,43.2,1.068393,,-43.78,139.94,1.0,False,True,0.0,,True,100.0,28.8
,106,570.0,1.083135,,-113.79,253.85,1.0,False,True,0.0,,True,600.0,200.0
,122,24.9,1.041503,,-6.06,18.84,1.0,False,True,0.0,,True,40.0,0.0
,123,861.3000000000001,1.077112,,-172.59,440.32,1.0,False,True,0.0,,True,1000.0,333.33
,140,-73.2,1.050716,,-6.33,18.59,1.0,False,True,0.0,,True,100.0,-97.60000000000001
,141,158.70000000000002,1.042299,,-32.4,78.15,1.0,False,True,0.0,,True,180.0,0.0
,146,-16.0,1.058041,,-29.5,70.12,1.0,False,True,0.0,,True,100.0,-21.33
,149,67.29,1.062129,,-22.54,77.09,1.0,False,True,0.0,,True,160.0,0.0
,150,-110.35000000000001,1.013748,,-58.18,37.97,1.0,False,True,0.0,,True,100.0,-147.13
,165,292.2,1.040747,,-56.53,127.67,1.0,False,True,0.0,,True,300.0,0.0
,178,-179.20000000000002,1.043661,,-51.72,52.64,1.0,False,True,0.0,,True,100.0,-238.93
,189,90.69,1.025544,,-20.63,54.24,1.0,False,True,0.0,,True,120.0,0.0
,191,135.8,1.048355,,-30.98,91.61,1.0,False,True,0.0,,True,200.0,0.0
,193,268.6,1.02931,,-53.53,130.19,1.0,False,True,0.0,,True,300.0,100.0
,196,292.2,1.099985,,-59.54,123.89,1.0,False,True,0.0,,True,300.0,0.0
,200,5.2,1.01914,,-1.07,2.27,1.0,False,True,0.0,,True,5.37,0.0
,208,25.4,1.026832,,-6.17,18.7,1.0,False,True,0.0,,True,40.0,0.0
,213,-175.20000000000002,1.079765,,-52.89,192.0,1.0,False,True,0.0,,True,100.0,-233.6
,218,1171.0,1.056623,,-288.16,937.4300000000001,1.0,False,True,0.0,,True,2000.0,666.67
,219,668.7,1.047116,,-146.95000000000002,402.92,1.0,False,True,0.0,,True,900.0,300.0
,220,296.0,1.030636,,-65.3,183.92000000000002,1.0,False,True,0.0,,True,400.0,133.33
,221,-147.3,1.030494,,-5.62,12.51,1.0,False,True,0.0,,True,100.0,-196.4
