name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,max_loading_percent
,,5146,3096,1.0,0.8664,8.89504,0.0,0.0,1.25041913563964,1.0,1,ol,True,100.0
,,5146,8762,1.0,0.722,10.6856,0.0,0.0,1.39931473137801,1.0,1,ol,True,100.0
,,2168,3123,1.0,0.51788,3.02984,0.0,0.0,1.24917603697392,1.0,1,ol,True,100.0
,,2168,3233,1.0,0.407044,2.662,0.0,0.0,1.24917603697392,1.0,1,ol,True,100.0
,,3516,710,1.0,2.06492,22.56972,0.0,0.0,2.49931892846562,1.0,1,ol,True,100.0
,,3516,4532,1.0,2.10824,24.43248,0.0,0.0,2.59959555416697,1.0,1,ol,True,100.0
,,426,5424,1.0,0.10108,0.82308,0.0,0.0,2.59959555416697,1.0,1,ol,True,100.0
,,426,4703,1.0,0.08664,0.80864,0.0,0.0,2.30028501987656,1.0,1,ol,True,100.0
,,5959,7430,1.0,1.620916,8.01504,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,5959,3185,1.0,1.649956,7.846124,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,4480,7430,1.0,1.683836,7.67624,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,4480,3185,1.0,1.499916,8.696996,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,530,9202,1.0,1.83388,26.59848,0.0,0.0,1.25041913563964,1.0,1,ol,True,100.0
,,530,834,1.0,1.81944,26.67068,0.0,0.0,2.35042333272724,1.0,1,ol,True,100.0
,,1655,117,1.0,1.8772,26.10752,0.0,0.0,1.85055954703412,1.0,1,ol,True,100.0
,,1655,3448,1.0,1.89164,25.4866,0.0,0.0,2.64973386701765,1.0,1,ol,True,100.0
,,5083,1808,1.0,3.65625,73.74375,0.0,0.0,2.15005240246217,1.0,1,ol,True,100.0
,,5083,6397,1.0,3.76875,54.7875,0.0,0.0,1.99994133247286,1.0,1,ol,True,100.0
,,5204,7832,1.0,1.14224,6.86312,0.0,0.0,1.45124863119029,1.0,1,ol,True,100.0
,,5204,7769,1.0,1.049796,7.699956,0.0,0.0,1.3489001743794,1.0,1,ol,True,100.0
,,353,1277,1.0,0.38988,3.66776,0.0,0.0,2.04959345562317,1.0,1,ol,True,100.0
,,353,7616,1.0,0.38988,3.73996,0.0,0.0,1.70014460848208,1.0,1,ol,True,100.0
,,2610,1277,1.0,0.47652,4.36088,0.0,0.0,2.20000839417521,1.0,1,ol,True,100.0
,,2610,904,1.0,0.41876,4.50528,0.0,0.0,2.4506999584286,1.0,1,ol,True,100.0
,,1841,6541,1.0,0.139876,0.66308,0.0,0.0,1.39876224308214,1.0,1,ol,True,100.0
,,1841,7621,1.0,0.105996,1.27292,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,2133,6541,1.0,0.139876,0.649044,0.0,0.0,1.19931396827118,1.0,1,ol,True,100.0
,,2133,8784,1.0,0.110836,1.24388,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,6612,6541,1.0,0.407044,3.33476,0.0,0.0,1.3489001743794,1.0,1,ol,True,100.0
,,6612,1650,1.0,0.473836,2.83624,0.0,0.0,1.29903810567666,1.0,1,ol,True,100.0
,,5772,6541,1.0,0.06776,0.5808,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,5772,7839,1.0,0.102124,0.744876,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,5213,6541,1.0,0.194084,2.372084,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,5213,7839,1.0,0.105996,0.73084,0.0,0.0,1.39876224308214,1.0,1,ol,True,100.0
,,8071,6541,1.0,0.352836,2.196876,0.0,0.0,1.29903810567666,1.0,1,ol,True,100.0
,,8071,2758,1.0,0.30008,2.33288,0.0,0.0,1.29903810567666,1.0,1,ol,True,100.0
,,2970,6068,1.0,0.75088,5.87708,0.0,0.0,2.25014670702588,1.0,1,ol,True,100.0
,,2970,3444,1.0,0.49096,7.24888,0.0,0.0,2.80014880556968,1.0,1,ol,True,100.0
,,7560,6068,1.0,0.9386,10.07912,0.0,0.0,2.59959555416697,1.0,1,ol,True,100.0
,,7560,8824,1.0,0.85196,11.63864,0.0,0.0,2.54945724131629,1.0,1,ol,True,100.0
,,6747,8863,1.0,0.30492,2.24576,0.0,0.0,1.29903810567666,1.0,1,ol,True,100.0
,,6747,5077,1.0,0.289916,2.467916,0.0,0.0,1.39876224308214,1.0,1,ol,True,100.0
,,4955,4784,1.0,0.30976,1.48588,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,4955,7666,1.0,0.318956,1.452,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,8618,6774,1.0,0.76532,7.62432,0.0,0.0,1.6500062956314,1.0,1,ol,True,100.0
,,8618,8194,1.0,0.80864,7.6532,0.0,0.0,1.94931682992182,1.0,1,ol,True,100.0
,,3106,4784,1.0,0.8712,3.832796,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,3106,7153,1.0,0.799084,4.17208,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,5436,6774,1.0,0.6498,7.8698,0.0,0.0,2.09973176847385,1.0,1,ol,True,100.0
,,5436,904,1.0,0.75088,6.87344,0.0,0.0,2.35042333272724,1.0,1,ol,True,100.0
,,2281,6875,1.0,1.55606,4.527941,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,2281,5653,1.0,3.920037,14.883,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,473,6875,1.0,3.974971,8.436967,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,473,8044,1.0,7.252982,13.649042,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,7916,7471,1.0,0.15884,1.57396,0.0,0.0,1.6500062956314,1.0,1,ol,True,100.0
,,7916,8898,1.0,0.15884,1.54508,0.0,0.0,1.80042123418344,1.0,1,ol,True,100.0
,,6224,7680,1.0,0.223124,1.9118,0.0,0.0,1.65069690600125,1.0,1,ol,True,100.0
,,6224,1507,1.0,0.289916,1.833876,0.0,0.0,1.55097276859577,1.0,1,ol,True,100.0
,,7117,6567,1.0,2.49812,22.26648,0.0,0.0,1.49959135707937,1.0,1,ol,True,100.0
,,7117,4345,1.0,2.39704,30.07852,0.0,0.0,1.70014460848208,1.0,1,ol,True,100.0
,,3468,8849,1.0,0.763994,2.237048,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,3468,1996,1.0,1.902967,4.557949,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,7555,7057,1.0,1.81016,10.1398,0.0,0.0,2.09945552432591,1.0,1,ol,True,100.0
,,7555,4323,1.0,2.47324,9.419124,0.0,0.0,2.09945552432591,1.0,1,ol,True,100.0
,,1068,2866,1.0,5.460004,24.573164,0.0,0.0,1.19931396827118,1.0,1,ol,True,100.0
,,1068,2587,1.0,5.566,24.063996,0.0,0.0,1.14945189956844,1.0,1,ol,True,100.0
,,3944,2866,1.0,5.671996,23.550956,0.0,0.0,1.14945189956844,1.0,1,ol,True,100.0
,,3944,2587,1.0,5.77412,23.037916,0.0,0.0,1.14945189956844,1.0,1,ol,True,100.0
,,131,2961,1.0,0.92416,10.3246,0.0,0.0,2.25014670702588,1.0,1,ol,True,100.0
,,131,4392,1.0,1.28516,10.28128,0.0,0.0,1.94931682992182,1.0,1,ol,True,100.0
,,5043,692,1.0,0.69312,8.0142,0.0,0.0,1.49959135707937,1.0,1,ol,True,100.0
,,5043,7859,1.0,0.67868,8.17304,0.0,0.0,1.6500062956314,1.0,1,ol,True,100.0
,,6882,692,1.0,0.66424,7.56656,0.0,0.0,1.59986798278073,1.0,1,ol,True,100.0
,,6882,7859,1.0,0.75088,7.42216,0.0,0.0,1.59986798278073,1.0,1,ol,True,100.0
,,1455,4502,1.0,0.52998,1.293006,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,1455,6657,1.0,3.792987,7.581013,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,6493,4944,1.0,0.41876,4.30312,0.0,0.0,2.4506999584286,1.0,1,ol,True,100.0
,,6493,6079,1.0,0.4332,4.20204,0.0,0.0,2.30028501987656,1.0,1,ol,True,100.0
,,1383,9009,1.0,2.2382,22.07876,0.0,0.0,1.80042123418344,1.0,1,ol,True,100.0
,,1383,3145,1.0,2.13712,21.9488,0.0,0.0,1.94931682992182,1.0,1,ol,True,100.0
,,8696,8141,1.0,0.038025,0.216,0.0,0.0,1.20088855991442,1.0,1,ol,True,100.0
,,8696,6194,1.0,0.04095,0.21195,0.0,0.0,1.20088855991442,1.0,1,ol,True,100.0
,,5664,423,1.0,0.23104,2.65696,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,5664,7234,1.0,0.31768,4.14428,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,3851,6496,1.0,0.2166,2.70028,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,3851,4778,1.0,0.31768,3.84104,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,673,8884,1.0,1.99272,25.1256,0.0,0.0,1.99945514277249,1.0,1,ol,True,100.0
,,673,3114,1.0,3.92768,41.5872,0.0,0.0,1.6500062956314,1.0,1,ol,True,100.0
,,8125,5176,1.0,0.9386,14.78656,0.0,0.0,2.80014880556968,1.0,1,ol,True,100.0
,,8125,6006,1.0,1.05412,14.49776,0.0,0.0,2.85028711842036,1.0,1,ol,True,100.0
,,8934,5176,1.0,1.083,14.19452,0.0,0.0,2.90042543127104,1.0,1,ol,True,100.0
,,8934,6006,1.0,1.09744,13.90572,0.0,0.0,2.90042543127104,1.0,1,ol,True,100.0
,,7145,7387,1.0,0.60648,38.49704,0.0,0.0,1.80042123418344,1.0,1,ol,True,100.0
,,4002,8854,1.0,0.41876,3.7544,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,4002,5780,1.0,0.31768,4.37532,0.0,0.0,1.80042123418344,1.0,1,ol,True,100.0
,,6995,3760,1.0,0.484,2.980956,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,6995,9107,1.0,0.54692,3.17988,0.0,0.0,1.39876224308214,1.0,1,ol,True,100.0
,,1211,8257,1.0,1.8772,18.43988,0.0,0.0,1.99945514277249,1.0,1,ol,True,100.0
,,1211,7329,1.0,2.35372,26.10752,0.0,0.0,2.09973176847385,1.0,1,ol,True,100.0
,,8643,105,1.0,0.67868,5.86264,0.0,0.0,1.99945514277249,1.0,1,ol,True,100.0
,,8643,5882,1.0,3.3934,33.83292,0.0,0.0,1.99945514277249,1.0,1,ol,True,100.0
,,96,6412,1.0,0.51984,6.4258,0.0,0.0,2.35042333272724,1.0,1,ol,True,100.0
,,96,1643,1.0,0.24548,3.61,0.0,0.0,2.90042543127104,1.0,1,ol,True,100.0
,,4378,6412,1.0,0.51984,6.29584,0.0,0.0,2.40056164557792,1.0,1,ol,True,100.0
,,4378,3482,1.0,0.24548,3.6822,0.0,0.0,2.75001049271901,1.0,1,ol,True,100.0
,,1884,3207,1.0,1.38624,14.3678,0.0,0.0,2.04959345562317,1.0,1,ol,True,100.0
,,1884,6789,1.0,2.19488,28.14356,0.0,0.0,2.09973176847385,1.0,1,ol,True,100.0
,,5313,3207,1.0,1.35736,14.64216,0.0,0.0,1.90069785988479,1.0,1,ol,True,100.0
,,5313,6789,1.0,2.15156,28.67784,0.0,0.0,2.14987008132453,1.0,1,ol,True,100.0
,,2884,3207,1.0,1.54508,17.94892,0.0,0.0,1.75028292133276,1.0,1,ol,True,100.0
,,2884,2584,1.0,1.47288,14.93096,0.0,0.0,1.85055954703412,1.0,1,ol,True,100.0
,,3716,4847,1.0,2.2748,9.97524,0.0,0.0,1.14945189956844,1.0,1,ol,True,100.0
,,3716,3687,1.0,3.57676,19.617004,0.0,0.0,1.04972776216296,1.0,1,ol,True,100.0
,,6063,8639,1.0,0.70756,8.82284,0.0,0.0,2.95056374412172,1.0,1,ol,True,100.0
,,6063,7329,1.0,0.5054,6.22364,0.0,0.0,2.35042333272724,1.0,1,ol,True,100.0
,,5376,1028,1.0,1.26324,6.50496,0.0,0.0,1.0995898308657,1.0,1,ol,True,100.0
,,5376,3524,1.0,1.704164,9.482044,0.0,0.0,1.0995898308657,1.0,1,ol,True,100.0
,,6869,3430,1.0,1.21,6.86796,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,6869,5045,1.0,1.38908,11.4708,0.0,0.0,0.99986569346022,1.0,1,ol,True,100.0
,,6692,6742,1.0,1.27072,13.80464,0.0,0.0,2.35042333272724,1.0,1,ol,True,100.0
,,6692,286,1.0,1.3718,12.66388,0.0,0.0,2.09973176847385,1.0,1,ol,True,100.0
,,2052,751,1.0,1.60688,9.995084,0.0,0.0,1.19931396827118,1.0,1,ol,True,100.0
,,2052,3047,1.0,1.920996,9.090004,0.0,0.0,1.19931396827118,1.0,1,ol,True,100.0
,,2892,2737,1.0,1.378916,7.215956,0.0,0.0,1.14945189956844,1.0,1,ol,True,100.0
,,2892,1574,1.0,2.12476,11.86284,0.0,0.0,1.14945189956844,1.0,1,ol,True,100.0
,,1523,8686,1.0,0.2888,2.5992,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,1523,8392,1.0,0.361,3.76884,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,7368,8686,1.0,0.2888,2.54144,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,7368,138,1.0,0.361,3.6822,0.0,0.0,2.90042543127104,1.0,1,ol,True,100.0
,,1018,6175,1.0,1.511048,5.736973,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,1018,7176,1.0,1.267959,3.353031,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,2606,7457,1.0,0.63536,6.18032,0.0,0.0,2.75001049271901,1.0,1,ol,True,100.0
,,2606,1336,1.0,0.51984,6.859,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,4734,5238,1.0,0.83752,7.71096,0.0,0.0,2.85028711842036,1.0,1,ol,True,100.0
,,4734,3144,1.0,0.77976,8.50516,0.0,0.0,2.80014880556968,1.0,1,ol,True,100.0
,,2940,1428,1.0,2.97464,29.70308,0.0,0.0,1.75028292133276,1.0,1,ol,True,100.0
,,2940,1541,1.0,1.11188,12.59168,0.0,0.0,1.44945304422869,1.0,1,ol,True,100.0
,,3772,9182,1.0,2.32484,28.34572,0.0,0.0,2.04959345562317,1.0,1,ol,True,100.0
,,3772,1541,1.0,1.083,12.82272,0.0,0.0,2.09973176847385,1.0,1,ol,True,100.0
,,1936,7260,1.0,0.23104,2.19488,0.0,0.0,2.49931892846562,1.0,1,ol,True,100.0
,,1936,5478,1.0,0.27436,2.35372,0.0,0.0,2.59959555416697,1.0,1,ol,True,100.0
,,5472,7260,1.0,0.2166,2.3104,0.0,0.0,2.35042333272724,1.0,1,ol,True,100.0
,,5472,5478,1.0,0.2166,2.64252,0.0,0.0,2.49931892846562,1.0,1,ol,True,100.0
,,3647,3289,1.0,1.74724,20.59144,0.0,0.0,2.14987008132453,1.0,1,ol,True,100.0
,,3647,5522,1.0,1.67504,21.02464,0.0,0.0,2.20000839417521,1.0,1,ol,True,100.0
