name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,controllable
,0,378.40000000000003,98.5,0.0,0.0,,1.0,True,,False
,2,151.0,48.8,0.0,0.0,,1.0,True,,False
,3,171.41,23.4,0.0,0.0,,1.0,True,,False
,4,45.95,14.0,0.0,0.0,,1.0,True,,False
,6,31.03,10.3,0.0,0.0,,1.0,True,,False
,8,14.3,2.0,0.0,0.0,,1.0,True,,False
,9,134.0,24.7,0.0,0.0,,1.0,True,,False
,13,13.5,14.8,0.0,0.0,,1.0,True,,False
,14,59.67,26.7,0.0,0.0,,1.0,True,,False
,15,30.6,4.3,0.0,0.0,,1.0,True,,False
,16,67.68,12.1,0.0,0.0,,1.0,True,,False
,18,25.33,7.5,0.0,0.0,,1.0,True,,False
,19,1.4,0.2,0.0,0.0,,1.0,True,,False
,20,161.20000000000002,39.3,0.0,0.0,,1.0,True,,False
,22,19.62,7.1,0.0,0.0,,1.0,True,,False
,23,17.22,5.7,0.0,0.0,,1.0,True,,False
,25,167.3,54.8,0.0,0.0,,1.0,True,,False
,28,152.9,49.4,0.0,0.0,,1.0,True,,False
,30,69.68,43.2,0.0,0.0,,1.0,True,,False
,33,13.52,4.9,0.0,0.0,,1.0,True,,False
,34,10.51,3.5,0.0,0.0,,1.0,True,,False
,36,9.21,2.6,0.0,0.0,,1.0,True,,False
,37,42.75,12.8,0.0,0.0,,1.0,True,,False
,39,16.02,4.54,0.0,0.0,,1.0,True,,False
,40,27.9,4.0,0.0,0.0,,1.0,True,,False
,41,20.82,7.9,0.0,0.0,,1.0,True,,False
,42,12.6,1.8,0.0,0.0,,1.0,True,,False
,44,10.11,3.7,0.0,0.0,,1.0,True,,False
,45,10.01,2.7,0.0,0.0,,1.0,True,,False
,46,6.31,0.0,0.0,0.0,,1.0,True,,False
,47,2.9,0.9,0.0,0.0,,1.0,True,,False
,49,48.8,6.9,0.0,0.0,,1.0,True,,False
,51,127.60000000000001,31.8,0.0,0.0,,1.0,True,,False
,52,48.65,16.1,0.0,0.0,,1.0,True,,False
,53,110.5,-26.8,0.0,0.0,,1.0,True,,False
,55,140.0,79.7,0.0,0.0,,1.0,True,,False
,56,21.6,3.0,0.0,0.0,,1.0,True,,False
,58,119.2,20.7,0.0,0.0,,1.0,True,,False
,59,0.24,-1.66,0.0,0.0,,1.0,True,,False
,62,187.9,110.2,0.0,0.0,,1.0,True,,False
,63,14.92,5.5,0.0,0.0,,1.0,True,,False
,65,4.61,1.7,0.0,0.0,,1.0,True,,False
,67,10.81,5.1,0.0,0.0,,1.0,True,,False
,68,62.87,20.5,0.0,0.0,,1.0,True,,False
,70,126.3,42.4,0.0,0.0,,1.0,True,,False
,71,6.91,-4.6,0.0,0.0,,1.0,True,,False
,72,15.72,5.2,0.0,0.0,,1.0,True,,False
,74,38.74,6.1,0.0,0.0,,1.0,True,,False
,75,22.13,10.7,0.0,0.0,,1.0,True,,False
,78,138.8,136.70000000000002,0.0,0.0,,1.0,True,,False
,80,67.76,19.18,0.0,0.0,,1.0,True,,False
,81,22.02,5.1,0.0,0.0,,1.0,True,,False
,83,1.0,0.3,0.0,0.0,,1.0,True,,False
,84,20.9,3.0,0.0,0.0,,1.0,True,,False
,86,21.52,5.1,0.0,0.0,,1.0,True,,False
,87,71.98,28.8,0.0,0.0,,1.0,True,,False
,89,363.25,115.39,0.0,0.0,,1.0,True,,False
,91,192.9,73.3,0.0,0.0,,1.0,True,,False
,92,17.52,6.3,0.0,0.0,,1.0,True,,False
,93,33.14,12.0,0.0,0.0,,1.0,True,,False
,94,40.45,25.0,0.0,0.0,,1.0,True,,False
,95,193.17000000000002,53.37,0.0,0.0,,1.0,True,,False
,97,90.7,25.5,0.0,0.0,,1.0,True,,False
,98,176.3,-58.9,0.0,0.0,,1.0,True,,False
,99,35.94,22.3,0.0,0.0,,1.0,True,,False
,102,65.07,40.3,0.0,0.0,,1.0,True,,False
,103,51.36,-8.8,0.0,0.0,,1.0,True,,False
,107,3.8,1.3,0.0,0.0,,1.0,True,,False
,108,137.0,19.5,0.0,0.0,,1.0,True,,False
,110,61.07,36.0,0.0,0.0,,1.0,True,,False
,113,55.7,7.9,0.0,0.0,,1.0,True,,False
,115,1.8,0.7,0.0,0.0,,1.0,True,,False
,116,40.04,16.0,0.0,0.0,,1.0,True,,False
,119,140.6,20.1,0.0,0.0,,1.0,True,,False
,120,45.15,14.1,0.0,0.0,,1.0,True,,False
,124,3.42,2.68,0.0,0.0,,1.0,True,,False
,127,23.73,12.7,0.0,0.0,,1.0,True,,False
,128,121.9,7.4,0.0,0.0,,1.0,True,,False
,130,47.35,16.4,0.0,0.0,,1.0,True,,False
,132,38.14,12.5,0.0,0.0,,1.0,True,,False
,133,54.2,7.8,0.0,0.0,,1.0,True,,False
,134,130.6,84.9,0.0,0.0,,1.0,True,,False
,135,7.91,2.6,0.0,0.0,,1.0,True,,False
,136,42.1,74.61,0.0,0.0,,1.0,True,,False
,144,38.34,5.6,0.0,0.0,,1.0,True,,False
,145,269.6,65.7,0.0,0.0,,1.0,True,,False
,147,32.34,12.0,0.0,0.0,,1.0,True,,False
,148,100.10000000000001,45.1,0.0,0.0,,1.0,True,,False
,151,7.0,1.0,0.0,0.0,,1.0,True,,False
,155,40.34,25.0,0.0,0.0,,1.0,True,,False
,156,9.21,3.3,0.0,0.0,,1.0,True,,False
,157,166.0,60.3,0.0,0.0,,1.0,True,,False
,159,79.4,11.3,0.0,0.0,,1.0,True,,False
,162,147.76,32.73,0.0,0.0,,1.0,True,,False
,164,26.8,-3.7,0.0,0.0,,1.0,True,,False
,166,257.5,131.1,0.0,0.0,,1.0,True,,False
,167,16.7,2.4,0.0,0.0,,1.0,True,,False
,170,100.8,13.2,0.0,0.0,,1.0,True,,False
,171,111.7,10.96,0.0,0.0,,1.0,True,,False
,172,90.38,-5.05,0.0,0.0,,1.0,True,,False
,173,370.5,-17.0,0.0,0.0,,1.0,True,,False
,174,9.91,3.2,0.0,0.0,,1.0,True,,False
,176,94.9,36.2,0.0,0.0,,1.0,True,,False
,177,81.09,48.0,0.0,0.0,,1.0,True,,False
,180,54.96,16.9,0.0,0.0,,1.0,True,,False
,181,19.32,26.0,0.0,0.0,,1.0,True,,False
,184,20.9,3.0,0.0,0.0,,1.0,True,,False
,185,19.92,6.6,0.0,0.0,,1.0,True,,False
,186,57.16,2.0,0.0,0.0,,1.0,True,,False
,187,36.84,13.9,0.0,0.0,,1.0,True,,False
,192,119.9,3.7,0.0,0.0,,1.0,True,,False
,194,73.14,21.55,0.0,0.0,,1.0,True,,False
,197,39.74,11.8,0.0,0.0,,1.0,True,,False
,198,86.8,28.4,0.0,0.0,,1.0,True,,False
,199,22.42,2.1,0.0,0.0,,1.0,True,,False
,201,110.9,32.7,0.0,0.0,,1.0,True,,False
,202,18.2,2.6,0.0,0.0,,1.0,True,,False
,204,46.15,18.2,0.0,0.0,,1.0,True,,False
,205,34.04,12.3,0.0,0.0,,1.0,True,,False
,206,321.98,84.4,0.0,0.0,,1.0,True,,False
,207,33.44,10.0,0.0,0.0,,1.0,True,,False
,210,75.28,19.2,0.0,0.0,,1.0,True,,False
,211,95.69,24.54,0.0,0.0,,1.0,True,,False
,212,37.34,10.9,0.0,0.0,,1.0,True,,False
,215,155.6,54.7,0.0,0.0,,1.0,True,,False
,216,105.2,0.1,0.0,0.0,,1.0,True,,False
,217,69.83,15.12,0.0,0.0,,1.0,True,,False
,222,27.03,8.8,0.0,0.0,,1.0,True,,False
,223,2.6,0.5,0.0,0.0,,1.0,True,,False
,225,14.62,4.8,0.0,0.0,,1.0,True,,False
,228,426.6,93.7,0.0,0.0,,1.0,True,,False
,229,152.07,22.52,0.0,0.0,,1.0,True,,False
,232,2.5,3.8,0.0,0.0,,1.0,True,,False
,233,16.7,2.4,0.0,0.0,,1.0,True,,False
,234,34.04,4.4,0.0,0.0,,1.0,True,,False
,235,45.85,7.0,0.0,0.0,,1.0,True,,False
,241,167.9,18.2,0.0,0.0,,1.0,True,,False
,242,0.0,-0.01,0.0,0.0,,1.0,True,,False
,244,16.62,5.5,0.0,0.0,,1.0,True,,False
,250,118.4,16.9,0.0,0.0,,1.0,True,,False
,256,113.9,24.5,0.0,0.0,,1.0,True,,False
,257,88.0,12.6,0.0,0.0,,1.0,True,,False
,258,42.67,12.11,0.0,0.0,,1.0,True,,False
,259,216.8,40.5,0.0,0.0,,1.0,True,,False
,263,38.74,9.0,0.0,0.0,,1.0,True,,False
,264,350.40000000000003,29.3,0.0,0.0,,1.0,True,,False
,266,103.8,2.7,0.0,0.0,,1.0,True,,False
,270,96.7,26.8,0.0,0.0,,1.0,True,,False
,273,19.02,6.0,0.0,0.0,,1.0,True,,False
,274,102.10000000000001,25.3,0.0,0.0,,1.0,True,,False
,278,8.31,3.0,0.0,0.0,,1.0,True,,False
,279,119.60000000000001,29.6,0.0,0.0,,1.0,True,,False
,282,27.33,11.9,0.0,0.0,,1.0,True,,False
,283,191.20000000000002,-3.4,0.0,0.0,,1.0,True,,False
,285,101.60000000000001,14.5,0.0,0.0,,1.0,True,,False
,286,177.1,66.9,0.0,0.0,,1.0,True,,False
,289,53.46,18.7,0.0,0.0,,1.0,True,,False
,291,13.82,1.4,0.0,0.0,,1.0,True,,False
,292,85.10000000000001,67.0,0.0,0.0,,1.0,True,,False
,295,189.3,76.7,0.0,0.0,,1.0,True,,False
,296,23.73,9.4,0.0,0.0,,1.0,True,,False
,297,10.01,-21.0,0.0,0.0,,1.0,True,,False
,301,20.9,3.0,0.0,0.0,,1.0,True,,False
,302,431.7,121.60000000000001,0.0,0.0,,1.0,True,,False
,303,2.2,0.5,0.0,0.0,,1.0,True,,False
,304,103.0,12.0,0.0,0.0,,1.0,True,,False
,310,42.05,17.2,0.0,0.0,,1.0,True,,False
,313,163.1,46.3,0.0,0.0,,1.0,True,,False
,318,153.3,21.8,0.0,0.0,,1.0,True,,False
,320,67.17,-23.9,0.0,0.0,,1.0,True,,False
,321,303.8,85.4,0.0,0.0,,1.0,True,,False
,328,24.23,7.1,0.0,0.0,,1.0,True,,False
,329,108.60000000000001,2.6,0.0,0.0,,1.0,True,,False
,330,4.0,2.4,0.0,0.0,,1.0,True,,False
,331,30.03,10.9,0.0,0.0,,1.0,True,,False
,332,524.5,43.0,0.0,0.0,,1.0,True,,False
,333,129.9,18.5,0.0,0.0,,1.0,True,,False
,335,4.4,0.0,0.0,0.0,,1.0,True,,False
,336,9.22,1.2,0.0,0.0,,1.0,True,,False
,339,186.6,56.6,0.0,0.0,,1.0,True,,False
,341,35.41,20.3,0.0,0.0,,1.0,True,,False
,342,3.2,1.2,0.0,0.0,,1.0,True,,False
,343,372.8,147.5,0.0,0.0,,1.0,True,,False
,345,197.5,48.3,0.0,0.0,,1.0,True,,False
,349,110.4,26.2,0.0,0.0,,1.0,True,,False
,355,141.1,2.1,0.0,0.0,,1.0,True,,False
,356,52.96,32.8,0.0,0.0,,1.0,True,,False
,357,13.9,1.9,0.0,0.0,,1.0,True,,False
,359,35.54,11.5,0.0,0.0,,1.0,True,,False
,361,48.92,14.52,0.0,0.0,,1.0,True,,False
,363,10.01,4.0,0.0,0.0,,1.0,True,,False
,366,65.17,-51.5,0.0,0.0,,1.0,True,,False
,369,56.76,23.2,0.0,0.0,,1.0,True,,False
,375,0.01,0.0,0.0,0.0,,1.0,True,,False
,377,221.35,51.8,0.0,0.0,,1.0,True,,False
,378,23.83,7.9,0.0,0.0,,1.0,True,,False
,380,44.05,0.0,0.0,0.0,,1.0,True,,False
,382,19.02,11.5,0.0,0.0,,1.0,True,,False
,389,27.93,10.1,0.0,0.0,,1.0,True,,False
,390,34.94,21.6,0.0,0.0,,1.0,True,,False
,391,134.1,34.2,0.0,0.0,,1.0,True,,False
,392,17.72,5.9,0.0,0.0,,1.0,True,,False
,396,77.79,-40.8,0.0,0.0,,1.0,True,,False
,397,11.91,3.8,0.0,0.0,,1.0,True,,False
,398,5.01,2.0,0.0,0.0,,1.0,True,,False
,400,56.5,36.29,0.0,0.0,,1.0,True,,False
,403,3.81,0.24,0.0,0.0,,1.0,True,,False
,404,254.70000000000002,79.4,0.0,0.0,,1.0,True,,False
,406,69.5,9.9,0.0,0.0,,1.0,True,,False
,407,129.1,7.4,0.0,0.0,,1.0,True,,False
,409,170.89000000000001,50.38,0.0,0.0,,1.0,True,,False
,411,26.4,3.8,0.0,0.0,,1.0,True,,False
,413,20.52,10.3,0.0,0.0,,1.0,True,,False
,414,4.71,0.7,0.0,0.0,,1.0,True,,False
,415,70.68,13.5,0.0,0.0,,1.0,True,,False
,416,187.19,1.8,0.0,0.0,,1.0,True,,False
,417,24.43,8.7,0.0,0.0,,1.0,True,,False
,418,8.81,3.2,0.0,0.0,,1.0,True,,False
,420,33.74,20.9,0.0,0.0,,1.0,True,,False
,421,35.84,12.5,0.0,0.0,,1.0,True,,False
,425,123.10000000000001,6.5,0.0,0.0,,1.0,True,,False
,427,0.1,0.0,0.0,0.0,,1.0,True,,False
,428,26.93,-22.4,0.0,0.0,,1.0,True,,False
,429,29.03,9.0,0.0,0.0,,1.0,True,,False
,430,188.42000000000002,106.93,0.0,0.0,,1.0,True,,False
,434,33.14,11.6,0.0,0.0,,1.0,True,,False
,435,18.3,8.2,0.0,0.0,,1.0,True,,False
,436,69.08,24.0,0.0,0.0,,1.0,True,,False
,444,36.74,10.3,0.0,0.0,,1.0,True,,False
,445,100.53,43.37,0.0,0.0,,1.0,True,,False
,449,42.04,43.0,0.0,0.0,,1.0,True,,False
,453,23.7,3.4,0.0,0.0,,1.0,True,,False
,454,274.32,5.66,0.0,0.0,,1.0,True,,False
,456,1.8,0.7,0.0,0.0,,1.0,True,,False
,458,97.0,40.3,0.0,0.0,,1.0,True,,False
,462,24.33,7.6,0.0,0.0,,1.0,True,,False
,463,44.75,0.9,0.0,0.0,,1.0,True,,False
,466,40.5,5.7,0.0,0.0,,1.0,True,,False
,467,9.01,6.8,0.0,0.0,,1.0,True,,False
,468,81.09,48.0,0.0,0.0,,1.0,True,,False
,471,336.2,131.6,0.0,0.0,,1.0,True,,False
,475,67.3,94.8,0.0,0.0,,1.0,True,,False
,478,16.62,3.1,0.0,0.0,,1.0,True,,False
,479,5.81,1.1,0.0,0.0,,1.0,True,,False
,482,57.26,15.6,0.0,0.0,,1.0,True,,False
,485,7.01,2.0,0.0,0.0,,1.0,True,,False
,486,87.8,12.5,0.0,0.0,,1.0,True,,False
,487,6.61,2.92,0.0,0.0,,1.0,True,,False
,489,20.52,4.0,0.0,0.0,,1.0,True,,False
,491,68.18,22.0,0.0,0.0,,1.0,True,,False
,492,23.23,7.6,0.0,0.0,,1.0,True,,False
,494,181.70000000000002,51.0,0.0,0.0,,1.0,True,,False
,496,40.0,5.7,0.0,0.0,,1.0,True,,False
,497,31.23,11.3,0.0,0.0,,1.0,True,,False
,498,287.31,-5.58,0.0,0.0,,1.0,True,,False
,499,144.4,35.5,0.0,0.0,,1.0,True,,False
,502,4.1,-607.0,0.0,0.0,,1.0,True,,False
,503,18.62,6.2,0.0,0.0,,1.0,True,,False
,506,23.43,8.5,0.0,0.0,,1.0,True,,False
,507,23.92,7.75,0.0,0.0,,1.0,True,,False
,508,77.29,7.0,0.0,0.0,,1.0,True,,False
,511,10.11,2.8,0.0,0.0,,1.0,True,,False
,512,57.46,17.1,0.0,0.0,,1.0,True,,False
,513,9.61,3.1,0.0,0.0,,1.0,True,,False
,516,7.71,16.7,0.0,0.0,,1.0,True,,False
,518,207.20000000000002,9.4,0.0,0.0,,1.0,True,,False
,519,118.5,20.4,0.0,0.0,,1.0,True,,False
,520,14.72,5.3,0.0,0.0,,1.0,True,,False
,521,11.61,7.2,0.0,0.0,,1.0,True,,False
,522,189.9,74.7,0.0,0.0,,1.0,True,,False
,524,36.54,27.4,0.0,0.0,,1.0,True,,False
,525,176.70000000000002,25.6,0.0,0.0,,1.0,True,,False
,526,277.7,45.4,0.0,0.0,,1.0,True,,False
,529,25.0,3.6,0.0,0.0,,1.0,True,,False
,532,16.52,3.8,0.0,0.0,,1.0,True,,False
,533,118.10000000000001,16.8,0.0,0.0,,1.0,True,,False
,534,11.51,3.8,0.0,0.0,,1.0,True,,False
,535,87.8,-1.4,0.0,0.0,,1.0,True,,False
,536,27.53,17.0,0.0,0.0,,1.0,True,,False
,537,21.02,13.0,0.0,0.0,,1.0,True,,False
