bus,name,q_mvar,p_mw,vn_kv,step,max_step,in_service
0,,-16.61,0.0,220.0,1,1,True
2,,-4.69,0.0,220.0,1,1,True
3,,-2.1,0.0,220.0,1,1,True
4,,-13.34,0.0,220.0,1,1,True
6,,-0.65,0.0,110.0,1,1,True
8,,-1.91,0.0,154.0,1,1,True
9,,-12.44,0.0,220.0,1,1,True
11,,-0.47,0.0,150.0,1,1,True
12,,-6.5,0.0,220.0,1,1,True
13,,-132.435168,0.0,380.0,1,1,True
14,,-12.84,0.0,220.0,1,1,True
15,,-5.15,0.0,154.0,1,1,True
16,,-2.18,0.0,220.0,1,1,True
18,,-2.39,0.0,110.0,1,1,True
19,,-4.93,0.0,154.0,1,1,True
20,,-30.71,0.0,220.0,1,1,True
21,,-0.85,0.0,220.0,1,1,True
22,,-1.15,0.0,110.0,1,1,True
23,,-1.22,0.0,110.0,1,1,True
25,,-110.54,0.0,380.0,1,1,True
26,,-14.82,0.0,380.0,1,1,True
28,,-27.65,0.0,380.0,1,1,True
29,,-0.56,0.0,150.0,1,1,True
30,,-6.3,0.0,150.0,1,1,True
33,,-1.8,0.0,110.0,1,1,True
34,,-0.31,0.0,110.0,1,1,True
35,,-15.34,0.12,220.0,1,1,True
36,,-2.0,0.0,110.0,1,1,True
37,,-13.3,0.0,220.0,1,1,True
39,,-0.1,0.0,110.0,1,1,True
40,,-4.23,0.0,154.0,1,1,True
41,,-26.89,0.0,380.0,1,1,True
42,,-2.03,0.0,154.0,1,1,True
43,,-7.27,0.0,220.0,1,1,True
44,,-0.81,0.0,110.0,1,1,True
45,,-1.14,0.0,110.0,1,1,True
46,,-0.67,0.0,110.0,1,1,True
47,,-0.6,0.0,110.0,1,1,True
49,,-8.71,0.0,154.0,1,1,True
51,,-20.51,0.0,150.0,1,1,True
52,,-7.14,0.0,220.0,1,1,True
53,,-16.37,0.0,220.0,1,1,True
54,,-1.23,0.0,220.0,1,1,True
55,,-6.5,0.0,220.0,1,1,True
56,,-3.54,0.0,154.0,1,1,True
57,,-2.31,0.0,380.0,1,1,True
58,,-3.31,0.0,220.0,1,1,True
59,,-0.65,0.0,110.0,1,1,True
60,,-58.57,0.0,380.0,1,1,True
61,,-1.34,0.0,110.0,1,1,True
62,,-21.25,0.0,380.0,1,1,True
63,,-1.31,0.0,110.0,1,1,True
64,,-0.79,0.0,150.0,1,1,True
65,,-2.32,0.0,110.0,1,1,True
66,,-82.133595,0.099501,380.0,1,1,True
67,,-1.09,0.0,110.0,1,1,True
68,,-1.15,0.0,150.0,1,1,True
69,,-2.64,0.0,154.0,1,1,True
70,,-55.24,0.0,150.0,1,1,True
71,,-5.75,0.0,220.0,1,1,True
72,,-0.11,0.0,110.0,1,1,True
74,,-1.17,0.0,220.0,1,1,True
75,,-14.21,0.0,220.0,1,1,True
76,,-0.73,0.0,220.0,1,1,True
77,,-0.83,0.0,110.0,1,1,True
78,,-8.76,0.0,380.0,1,1,True
80,,-1.47,0.0,150.0,1,1,True
81,,-0.69,0.0,110.0,1,1,True
82,,-6.62,0.0,220.0,1,1,True
83,,-0.19,0.0,110.0,1,1,True
84,,-5.74,0.0,154.0,1,1,True
85,,-0.12,0.0,150.0,1,1,True
86,,-0.5,0.0,110.0,1,1,True
87,,-11.0,0.0,220.0,1,1,True
88,,-4.530599,0.199111,380.0,1,1,True
89,,-3.95,0.0,220.0,1,1,True
90,,-0.02,0.0,150.0,1,1,True
91,,-20.75,0.0,380.0,1,1,True
92,,-0.26,0.0,110.0,1,1,True
93,,-0.65,0.0,110.0,1,1,True
94,,-9.82,0.0,150.0,1,1,True
95,,-4.58,0.0,220.0,1,1,True
96,,-9.38,0.0,380.0,1,1,True
97,,-3.11,0.0,220.0,1,1,True
98,,-24.77,0.0,380.0,1,1,True
100,,-0.29,0.0,150.0,1,1,True
101,,-3.77,0.0,220.0,1,1,True
102,,-5.43,0.0,150.0,1,1,True
103,,-2.15,0.0,220.0,1,1,True
104,,-82.55,0.0,380.0,1,1,True
105,,-31.19,0.0,380.0,1,1,True
107,,-0.4,0.0,110.0,1,1,True
108,,-4.9,0.0,154.0,1,1,True
110,,-3.09,0.0,220.0,1,1,True
111,,-3.24,0.0,220.0,1,1,True
112,,-6.532711,0.0,380.0,1,1,True
113,,-4.21,0.0,154.0,1,1,True
114,,-4.21,0.0,220.0,1,1,True
115,,-0.3,0.0,110.0,1,1,True
116,,-0.52,0.0,110.0,1,1,True
117,,-36.562834,0.0,380.0,1,1,True
118,,-0.09,0.0,150.0,1,1,True
119,,-13.81,0.0,154.0,1,1,True
120,,-0.19,0.0,110.0,1,1,True
121,,-5.75,0.0,220.0,1,1,True
124,,-1.46,0.0,110.0,1,1,True
125,,-2.64,0.0,154.0,1,1,True
