name,std_type,hv_bus,lv_bus,sn_mva,vn_hv_kv,vn_lv_kv,vk_percent,vkr_percent,pfe_kw,i0_percent,shift_degree,tap_side,tap_neutral,tap_min,tap_max,tap_step_percent,tap_step_degree,tap_pos,tap_phase_shifter,parallel,df,in_service,max_loading_percent
,,6928,6076,1711.0,400.0,380.0,23.70748411828214,2.30985,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,4958,2934,99.999,400.0,380.0,1.24277878544593,0.09699903,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,4457,435,99.999,400.0,380.0,1.06729996583618,0.08399916,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,6966,4634,99.999,220.0,110.0,9.33386278846932,0.43099569,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,6966,4634,99.999,220.0,110.0,9.14440029656281,0.4399956,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,1334,7130,99.999,150.0,110.0,14.30178748674901,0.635593644,0.0,0.0,0.0,hv,0.0,,,2.6667,,1.0,False,1,1.0,True,100.0
,,2473,7140,99.999,220.0,110.0,10.22727886702812,0.52299477,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,2473,7140,99.999,220.0,110.0,10.00575287313023,0.53199468,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,2473,7140,99.999,220.0,110.0,10.54795924422053,0.44199558,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,8257,5656,99.999,380.0,220.0,5.90409127247092,0.100198998,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,8257,5656,99.999,380.0,220.0,5.60333234101942,0.081199188,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,7312,7930,99.999,380.0,220.0,5.83536849387211,0.092099079,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,7930,4321,99.999,220.0,110.0,7.24469456031575,0.1599984,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,7930,4321,99.999,220.0,110.0,7.10026194661024,0.18199818,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,7930,4321,99.999,220.0,110.0,6.95539117779567,0.18499815,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,272,8338,99.999,220.0,110.0,7.9765587486787,0.34899651,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,272,8338,99.999,220.0,110.0,7.80699730995055,0.35499645,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,1543,272,99.999,380.0,220.0,4.86299786838735,0.110098899,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,1543,272,99.999,380.0,220.0,5.51152333779843,0.098399016,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,6504,8825,99.999,220.0,110.0,7.75389750534739,0.17499825,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,6504,8825,99.999,220.0,110.0,7.90277121682043,0.17099829,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,5975,4328,99.999,220.0,110.0,9.14949391333249,0.30199698,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,5975,4328,99.999,220.0,110.0,8.47285229624253,0.29499705,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,5988,4624,99.999,220.0,110.0,7.81699449108228,0.1799982,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,5988,4624,99.999,220.0,110.0,7.72613791735234,0.18499815,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,5988,4624,99.999,220.0,110.0,7.00958738435819,0.19299807,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,105,2545,99.999,380.0,110.0,9.46742501530282,0.20499795,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,5176,514,691.0,380.0,220.0,21.83301696138134,0.313714,0.0,0.0,0.055998,hv,0.0,,,2.3169,,-1.0,False,1,1.0,True,100.0
,,5176,514,691.0,380.0,220.0,24.74556269783253,0.2764,0.0,0.0,0.055998,hv,0.0,,,2.3169,,-1.0,False,1,1.0,True,100.0
,,2202,7637,724.0,380.0,220.0,24.14015390355082,0.247608,0.0,0.0,0.0,hv,0.0,,,9.4144,,-1.0,False,1,1.0,True,100.0
,,1362,7637,724.0,380.0,220.0,24.60276602400763,0.247608,0.0,0.0,0.0,hv,0.0,,,9.4144,,-1.0,False,1,1.0,True,100.0
,,4462,7637,705.0,220.0,220.0,20.32039405595398,0.085305,0.0,0.0,0.305147,hv,0.0,,,4.6198,,-1.0,False,1,1.0,True,100.0
,,6961,1828,691.0,380.0,220.0,30.86721030989957,0.239777,0.0,0.0,-0.129803,hv,0.0,,,9.81730000000001,,1.0,False,1,1.0,True,100.0
,,6961,1828,691.0,380.0,220.0,30.23985158416319,0.245996,0.0,0.0,-0.129803,hv,0.0,,,9.81730000000001,,1.0,False,1,1.0,True,100.0
,,4309,666,99.999,220.0,220.0,2.653473465,0.0,0.0,0.0,0.047371,hv,,,,,,,False,1,1.0,True,100.0
,,4309,1828,99.999,220.0,220.0,2.596174038,0.0,0.0,0.0,-0.047371,hv,,,,,,,False,1,1.0,True,100.0
,,8227,5593,724.0,380.0,220.0,29.97088047841557,0.312044,0.0,0.0,0.115349,hv,0.0,,,4.9952,,-1.0,False,1,1.0,True,100.0
,,8227,5593,724.0,380.0,220.0,31.78696262070951,0.27512,0.0,0.0,0.103215,hv,0.0,,,4.4869,,-1.0,False,1,1.0,True,100.0
,,3507,5846,691.0,380.0,220.0,25.22992406029198,0.2764,0.0,0.0,0.055998,hv,0.0,,,2.3169,,-1.0,False,1,1.0,True,100.0
,,3507,5846,691.0,380.0,220.0,25.71290461915108,0.2764,0.0,0.0,0.055998,hv,0.0,,,2.3169,,-1.0,False,1,1.0,True,100.0
,,344,297,800.0,220.0,220.0,11.83966383306553,0.1048,0.0,0.0,-0.048422,hv,0.0,,,0.1173,,-1.0,False,1,1.0,True,100.0
,,3024,3886,1185.0,380.0,220.0,15.47662248907445,0.22989,0.0,0.0,0.0,hv,0.0,,,0.25059999999999,,1.0,False,1,1.0,True,100.0
,,7991,264,757.0,380.0,220.0,23.47037414597667,0.350491,0.0,0.0,0.0,hv,0.0,,,4.3639,,-1.0,False,1,1.0,True,100.0
,,7991,264,757.0,380.0,220.0,22.96334694921246,0.357304,0.0,0.0,0.0,hv,0.0,,,4.3639,,-1.0,False,1,1.0,True,100.0
,,457,7392,1415.0,380.0,220.0,21.93512763453292,0.230645,0.0,0.0,0.0,hv,0.0,,,5.6465,,-1.0,False,1,1.0,True,100.0
,,5717,4009,99.999,220.0,110.0,7.17488013394352,0.198698013,0.0,0.0,0.0,hv,0.0,,,3.75,,-1.0,False,1,1.0,True,100.0
,,2511,6345,99.999,380.0,110.0,5.14040454506209,0.075599244,0.0,0.0,0.0,hv,0.0,,,0.4704,,-1.0,False,1,1.0,True,100.0
,,2511,6345,99.999,380.0,110.0,5.34546711439274,0.074599254,0.0,0.0,0.0,hv,0.0,,,0.4704,,-1.0,False,1,1.0,True,100.0
,,7261,9176,99.999,380.0,110.0,4.33350601809643,0.06899931,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,2737,7389,99.999,220.0,110.0,6.54353388013248,0.2199978,0.0,0.0,0.0,hv,0.0,,,7.5,,-1.0,False,1,1.0,True,100.0
,,2737,7389,99.999,220.0,110.0,6.40573611527873,0.223497765,0.0,0.0,0.0,hv,0.0,,,7.5,,-1.0,False,1,1.0,True,100.0
,,8611,5069,99.999,220.0,110.0,7.425826359774,0.16799832,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,962,3466,99.999,220.0,110.0,7.00768819450401,0.203597964,0.0,0.0,0.0,hv,0.0,,,0.7609,,-1.0,False,1,1.0,True,100.0
,,962,3466,99.999,220.0,110.0,7.13952203296627,0.199698003,0.0,0.0,0.0,hv,0.0,,,0.7609,,-1.0,False,1,1.0,True,100.0
,,3621,962,99.999,380.0,220.0,3.28605353635689,0.03499965,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,3621,962,99.999,380.0,220.0,3.22021623513655,0.0399996,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,2612,3800,99.999,220.0,110.0,6.91796883628323,0.20499795,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,2612,3800,99.999,220.0,110.0,7.3423844745172,0.08199918,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,352,8576,99.999,220.0,110.0,7.73648993772451,0.265797342,0.0,0.0,0.0,hv,0.0,,,0.7609,,-1.0,False,1,1.0,True,100.0
,,352,8576,99.999,220.0,110.0,7.56968397163984,0.271197288,0.0,0.0,0.0,hv,0.0,,,0.7609,,-1.0,False,1,1.0,True,100.0
,,4021,3855,99.999,380.0,110.0,4.60441277268884,0.06499935,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,7104,2624,99.999,380.0,110.0,3.62949328854833,0.06199938,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,7104,8171,99.999,380.0,220.0,3.26302268617072,0.01899981,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,2681,973,99.999,220.0,110.0,7.28614344604518,0.179698203,0.0,0.0,0.0,hv,0.0,,,0.7752,,-1.0,False,1,1.0,True,100.0
,,3235,8397,99.999,220.0,110.0,7.26279252774505,0.271197288,0.0,0.0,0.0,hv,0.0,,,3.3523,,-1.0,False,1,1.0,True,100.0
,,7284,352,99.999,380.0,220.0,3.07032904731117,0.04699953,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,7694,3935,99.999,220.0,110.0,7.15275907363053,0.260097399,0.0,0.0,0.0,hv,0.0,,,2.5,,-1.0,False,1,1.0,True,100.0
,,7694,3935,99.999,220.0,110.0,6.99796067767142,0.265297347,0.0,0.0,0.0,hv,0.0,,,2.5,,-1.0,False,1,1.0,True,100.0
,,5624,7694,99.999,380.0,220.0,3.41706615090716,0.03699963,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,5624,7694,99.999,380.0,220.0,3.48326168183229,0.03699963,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,6687,3789,99.999,380.0,220.0,3.52419176517425,0.0399996,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,6687,5195,99.999,380.0,110.0,4.52548079151023,0.06899931,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,8893,7767,99.999,380.0,110.0,4.23152027991721,0.06899931,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,3097,7530,99.999,220.0,110.0,7.31549477579395,0.11899881,0.0,0.0,0.0,hv,0.0,,,3.75,,-1.0,False,1,1.0,True,100.0
,,3097,7530,99.999,220.0,110.0,7.16596081587851,0.276397236,0.0,0.0,0.0,hv,0.0,,,3.75,,-1.0,False,1,1.0,True,100.0
,,9023,6541,99.999,380.0,220.0,6.72224229447392,0.074199258,0.0,0.0,0.0,hv,0.0,,,0.5641,,-1.0,False,1,1.0,True,100.0
,,9023,6541,99.999,380.0,220.0,6.3884283072937,0.079299207,0.0,0.0,0.0,hv,0.0,,,0.1582,,-1.0,False,1,1.0,True,100.0
,,6068,9191,691.0,380.0,150.0,32.3477563787834,0.420819,0.0,0.0,0.0,hv,0.0,,,6.6947,,-1.0,False,1,1.0,True,100.0
,,6068,1967,691.0,380.0,150.0,31.24277010682952,0.40769,0.0,0.0,0.0,hv,0.0,,,8.777,,-1.0,False,1,1.0,True,100.0
,,7828,1967,99.999,220.0,150.0,513.4324854083286,51.918880806,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,8573,2298,99.999,380.0,150.0,3.99855077209704,0.055899441,0.0,0.0,0.0,hv,0.0,,,8.0477,,-1.0,False,1,1.0,True,100.0
,,8573,5586,99.999,380.0,150.0,4.531472877433,0.053699463,0.0,0.0,0.0,hv,0.0,,,5.17379999999999,,-1.0,False,1,1.0,True,100.0
,,4928,1814,99.999,380.0,220.0,6.15548043696385,0.088899111,0.0,0.0,0.0,hv,0.0,,,0.31330000000001,,-1.0,False,1,1.0,True,100.0
,,1814,791,99.999,220.0,150.0,790.2324855555565,146.780732178,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,6703,4585,658.0,380.0,150.0,32.26470211881939,0.385588,0.0,0.0,0.0,hv,0.0,,,7.6593,,-1.0,False,1,1.0,True,100.0
,,2440,3505,658.0,380.0,150.0,31.45425480325929,0.274386,0.0,0.0,0.0,hv,0.0,,,4.7587,,-1.0,False,1,1.0,True,100.0
,,1366,6825,99.999,380.0,150.0,5.14350271018307,0.075499245,0.0,0.0,0.0,hv,0.0,,,7.5991,,-1.0,False,1,1.0,True,100.0
,,1675,227,658.0,380.0,150.0,34.48191533601867,0.482314,0.0,0.0,0.0,hv,0.0,,,6.5014,,-1.0,False,1,1.0,True,100.0
,,7828,6825,99.999,220.0,150.0,6.43150868082383,0.07799922,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,658,3278,99.999,380.0,150.0,4.86396567315818,0.08899911,0.0,0.0,0.0,hv,0.0,,,1.2998,,-1.0,False,1,1.0,True,100.0
,,5209,791,99.999,220.0,150.0,9.0125570429231,0.85499145,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,1444,791,99.999,220.0,150.0,4.84109040091627,0.22299777,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,7179,2167,658.0,380.0,150.0,28.36961396731101,0.382298,0.0,0.0,0.0,hv,0.0,,,7.5962,,-1.0,False,1,1.0,True,100.0
,,6832,8963,691.0,380.0,150.0,29.90362857103172,0.400089,0.0,0.0,0.0,hv,0.0,,,9.8995,,-1.0,False,1,1.0,True,100.0
,,3658,3241,691.0,380.0,150.0,33.88284067493039,0.404926,0.0,0.0,0.0,hv,0.0,,,7.6593,,-1.0,False,1,1.0,True,100.0
,,8180,4426,99.999,380.0,150.0,4.91946840820745,0.055899441,0.0,0.0,0.0,hv,0.0,,,7.5991,,-1.0,False,1,1.0,True,100.0
,,9024,7562,658.0,380.0,150.0,33.64499463372048,0.377034,0.0,0.0,0.0,hv,0.0,,,6.5014,,-1.0,False,1,1.0,True,100.0
,,2266,5209,724.0,380.0,220.0,28.40340057926304,0.301908,0.0,0.0,0.0,hv,0.0,,,3.2941,,-1.0,False,1,1.0,True,100.0
,,5209,7278,99.999,220.0,150.0,121.97066036234739,23.053969458,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,5209,8334,99.999,220.0,150.0,26.53820209180172,2.28397716,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,5209,2448,99.999,220.0,150.0,74.17198437229665,8.53691463,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,5209,4664,99.999,220.0,150.0,390.1173884566751,140.275397232,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,5209,4494,99.999,220.0,150.0,457.2406472535753,105.021649773,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,8178,7278,99.999,380.0,150.0,4.37154267353756,0.071599284,0.0,0.0,0.0,hv,0.0,,,6.5014,,-1.0,False,1,1.0,True,100.0
,,1444,7278,99.999,220.0,150.0,237.49817403819074,51.861681378,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,5508,8334,99.999,380.0,150.0,4.56653548861898,0.05899941,0.0,0.0,0.0,hv,0.0,,,4.4042,,-1.0,False,1,1.0,True,100.0
,,5508,1530,99.999,380.0,150.0,5.09620579116848,0.060299397,0.0,0.0,0.0,hv,0.0,,,3.1875,,-1.0,False,1,1.0,True,100.0
,,1444,8334,99.999,220.0,150.0,55.62274221694562,4.776852231,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,7761,5154,99.999,380.0,150.0,4.51564160153362,0.059099409,0.0,0.0,0.0,hv,0.0,,,8.1132,,-1.0,False,1,1.0,True,100.0
,,7761,270,691.0,380.0,150.0,33.01720118758712,0.4146,0.0,0.0,0.0,hv,0.0,,,5.1024,,-1.0,False,1,1.0,True,100.0
,,7828,5775,99.999,220.0,150.0,27.12443564554099,2.43597564,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,8328,1444,99.999,380.0,220.0,5.72750425089844,0.080199198,0.0,0.0,0.0,hv,0.0,,,3.2979,,-1.0,False,1,1.0,True,100.0
,,8328,1444,99.999,380.0,220.0,5.60644802396145,0.082299177,0.0,0.0,0.0,hv,0.0,,,3.2979,,-1.0,False,1,1.0,True,100.0
,,1444,2448,99.999,220.0,150.0,130.55096093035422,18.809711901,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,1444,4664,99.999,220.0,150.0,767.0657579883416,246.62983367700002,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,2267,2907,724.0,380.0,150.0,36.45681445272211,0.378652,0.0,0.0,0.0,hv,0.0,,,6.5378,,-1.0,False,1,1.0,True,100.0
,,8846,5775,99.999,380.0,150.0,4.96421885126258,0.068199318,0.0,0.0,0.0,hv,0.0,,,8.6966,,-1.0,False,1,1.0,True,100.0
,,8846,8102,99.999,380.0,150.0,4.73698725059546,0.09899901,0.0,0.0,0.0,hv,0.0,,,1.2146,,1.0,False,1,1.0,True,100.0
,,316,2448,658.0,380.0,150.0,32.08598226667944,0.405328,0.0,0.0,0.0,hv,0.0,,,6.6947,,-1.0,False,1,1.0,True,100.0
,,7636,8580,1678.0,380.0,380.0,26.00776046975371,0.15102,0.0,0.0,-0.428189,hv,,,,,,,False,1,1.0,True,100.0
,,5847,7525,1678.0,380.0,380.0,16.15984568552559,0.15102,0.0,0.0,0.178581,hv,,,,,,,False,1,1.0,True,100.0
,,88,4494,99.999,380.0,150.0,4.5613377037581,0.066399336,0.0,0.0,0.0,hv,0.0,,,7.5991,,-1.0,False,1,1.0,True,100.0
,,2519,4664,691.0,380.0,150.0,31.00288566573836,0.448459,0.0,0.0,0.0,hv,0.0,,,6.6947,,-1.0,False,1,1.0,True,100.0
,,5995,8419,724.0,380.0,150.0,31.32399617328543,0.48508,0.0,0.0,0.0,hv,0.0,,,7.6593,,-1.0,False,1,1.0,True,100.0
,,2153,5995,1678.0,380.0,380.0,16.61456437103556,0.15102,0.0,0.0,-0.153178,hv,,,,,,,False,1,1.0,True,100.0
,,6998,4007,1382.0,380.0,220.0,37.01152145160185,0.339972,0.0,0.0,-0.130098,hv,0.0,,,1.5668,,1.0,False,1,1.0,True,100.0
,,4007,5520,99.999,220.0,110.0,7.57905641494008,0.13099869,0.0,0.0,0.0,hv,0.0,,,4.54540000000001,,1.0,False,1,1.0,True,100.0
,,4007,5520,99.999,220.0,110.0,7.07808667640839,0.12799872,0.0,0.0,0.0,hv,0.0,,,4.54540000000001,,1.0,False,1,1.0,True,100.0
,,3172,8767,99.999,220.0,110.0,6.26640675675835,0.13099869,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,3172,8767,99.999,220.0,110.0,5.77147492341005,0.13299867,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
